source_id,target_id,verified_by,verification_date,comments
SYS-REQ-001,REQ-FUN-001,,,
SYS-REQ-002,REQ-FUN-001,,,
SYS-REQ-002,REQ-SAFE-001,,,
SYS-REQ-003,REQ-FUN-003,,,
SYS-REQ-003,REQ-PERF-004,,,
SYS-REQ-004,REQ-FUN-002,,,
SYS-REQ-005,REQ-FUN-004,,,
SYS-REQ-007,REQ-SAFE-004,,,
SYS-REQ-009,REQ-FUN-007,,,
SYS-REQ-010,REQ-FUN-007,,,
SYS-REQ-011,REQ-FUN-006,,,
SYS-REQ-012,REQ-FUN-005,,,
SYS-REQ-012,REQ-FUN-008,,,
SYS-REQ-013,REQ-FUN-008,,,
SYS-REQ-013,REQ-FUN-010,,,
SYS-REQ-013,REQ-SAFE-002,,,
SYS-REQ-014,REQ-FUN-005,,,
SYS-REQ-014,REQ-SAFE-005,,,
SYS-REQ-015,REQ-FUN-010,,,
SYS-REQ-015,REQ-SAFE-001,,,
SYS-REQ-016,REQ-FUN-009,,,
SYS-REQ-016,REQ-INT-008,,,
SYS-REQ-016,REQ-SAFE-003,,,
SYS-REQ-017,REQ-FUN-009,,,
SYS-REQ-017,REQ-INT-008,,,
SYS-REQ-017,REQ-PERF-005,,,
SYS-REQ-021,REQ-INT-011,,,
SYS-REQ-021,REQ-SAFE-012,,,
SYS-REQ-023,REQ-FUN-011,,,
SYS-REQ-023,REQ-FUN-013,,,
SYS-REQ-023,REQ-FUN-014,,,
SYS-REQ-023,REQ-SAFE-018,,,
SYS-REQ-024,REQ-FUN-012,,,
SYS-REQ-025,REQ-FUN-015,,,
SYS-REQ-026,REQ-FUN-015,,,
SYS-REQ-026,REQ-SAFE-005,,,
SYS-REQ-027,REQ-FUN-016,,,
SYS-REQ-027,REQ-INT-008,,,
SYS-REQ-028,REQ-FUN-017,,,
SYS-REQ-028,REQ-SAFE-011,,,
SYS-REQ-029,REQ-FUN-017,,,
SYS-REQ-029,REQ-PERF-006,,,
SYS-REQ-029,REQ-PERF-007,,,
SYS-REQ-030,REQ-SAFE-006,,,
SYS-REQ-030,REQ-SAFE-016,,,
SYS-REQ-031,REQ-FUN-018,,,
SYS-REQ-034,REQ-PERF-003,,,
SYS-REQ-035,REQ-PERF-002,,,
SYS-REQ-036,REQ-PERF-001,,,
SYS-REQ-036,REQ-PERF-008,,,
SYS-REQ-036,REQ-PERF-009,,,
SYS-REQ-036,REQ-PERF-010,,,
SYS-REQ-039,REQ-REL-001,,,
SYS-REQ-040,REQ-INT-001,,,
SYS-REQ-041,REQ-INT-002,,,
SYS-REQ-042,REQ-INT-003,,,
SYS-REQ-043,REQ-INT-004,,,
SYS-REQ-044,REQ-INT-005,,,
SYS-REQ-045,REQ-INT-011,,,
SYS-REQ-046,REQ-INT-007,,,
SYS-REQ-046,REQ-SAFE-015,,,
SYS-REQ-047,REQ-INT-007,,,
SYS-REQ-048,REQ-INT-012,,,
SYS-REQ-049,REQ-INT-009,,,
SYS-REQ-050,REQ-INT-013,,,
SYS-REQ-051,REQ-INT-012,,,
SYS-REQ-060,REQ-INT-010,,,
SYS-REQ-060,REQ-SAFE-010,,,
SYS-REQ-060,REQ-SAFE-019,,,
SYS-REQ-060,REQ-SAFE-020,,,
SYS-REQ-061,REQ-SAFE-007,,,
SYS-REQ-061,REQ-SAFE-017,,,
SYS-REQ-062,REQ-REL-002,,,
SYS-REQ-063,REQ-SAFE-009,,,
SYS-REQ-064,REQ-INT-006,,,
SYS-REQ-064,REQ-SAFE-008,,,
SYS-REQ-065,REQ-REL-002,,,
SYS-REQ-066,REQ-REL-003,,,
SYS-REQ-066,REQ-SAFE-013,,,
SYS-REQ-066,REQ-SAFE-014,,,
SYS-REQ-067,REQ-REL-001,,,
SYS-REQ-068,REQ-REL-004,,,
SYS-REQ-070,REQ-FUN-018,,,
SYS-REQ-073,REQ-SEC-001,,,
SYS-REQ-073,REQ-SEC-003,,,
SYS-REQ-074,REQ-SEC-002,,,
SYS-REQ-50128,REQ-OPR-007,,,
