source_id,target_id,rationale,verification_method,status
TC-HWSW-001,MOD-HAL-001,Tests HAL GPIO position sensor read functions on target hardware,HW/SW integration test with STM32H743,verified
TC-HWSW-001,MOD-DSM-002,Tests DSM 2oo2 position sensor voting on hardware,HW/SW integration test,verified
TC-HWSW-002,MOD-HAL-001,Tests HAL GPIO lock sensor read and 2oo2 integration on hardware,HW/SW integration test with dual sensor inputs,verified
TC-HWSW-002,MOD-DSM-002,Tests DSM lock sensor voting on hardware,HW/SW integration test,verified
TC-HWSW-003,MOD-HAL-001,Tests HAL GPIO obstacle sensor ISR on real STM32H743,HW/SW integration test with interrupt measurement,verified
TC-HWSW-003,MOD-OBD-001,Tests OBD obstacle ISR handler on hardware,HW/SW integration test,verified
TC-HWSW-003,MOD-OBD-002,Tests OBD obstacle detection on hardware,HW/SW integration test,verified
TC-HWSW-004,MOD-HAL-005,Tests HAL watchdog initialization and refresh on hardware,HW/SW integration test on STM32H743 IWDG,verified
TC-HWSW-004,MOD-SKN-002,Tests SKN watchdog status monitoring integration on hardware,HW/SW integration test,verified
TC-HWSW-005,MOD-HAL-005,Tests HAL watchdog timeout and reset behavior on hardware,HW/SW integration test with refresh withheld,verified
TC-HWSW-005,MOD-SKN-002,Tests SKN safe state escalation on watchdog timeout,HW/SW integration test,verified
TC-HWSW-006,MOD-HAL-001,Tests HAL GPIO lock actuator output on target hardware,HW/SW integration test with oscilloscope,verified
TC-HWSW-006,MOD-DSM-001,Tests DSM lock actuator command generation on hardware,HW/SW integration test,verified
TC-HWSW-007,MOD-HAL-002,Tests HAL PWM duty cycle output on STM32H743 TIM1,HW/SW integration test with oscilloscope measurement,verified
TC-HWSW-007,MOD-DSM-001,Tests DSM motor PWM command generation on hardware,HW/SW integration test,verified
TC-HWSW-008,MOD-HAL-002,Tests HAL motor direction GPIO output on target hardware,HW/SW integration test with logic analyser,verified
TC-HWSW-008,MOD-DSM-001,Tests DSM motor direction control on hardware,HW/SW integration test,verified
TC-HWSW-009,MOD-HAL-002,Tests HAL motor fail-safe (duty=0) on safe state on hardware,HW/SW integration test with oscilloscope,verified
TC-HWSW-009,MOD-SKN-002,Tests SKN safe state broadcast integration on hardware,HW/SW integration test,verified
TC-HWSW-009,MOD-DSM-001,Tests DSM motor fail-safe integration on hardware,HW/SW integration test,verified
TC-HWSW-010,MOD-HAL-003,Tests HAL CAN RX on STM32H743 bxCAN controller,HW/SW integration test with CAN analyser,verified
TC-HWSW-010,MOD-TCI-001,Tests TCI CAN RX processing on target hardware,HW/SW integration test,verified
TC-HWSW-010,MOD-SPM-001,Tests SPM speed message processing on hardware,HW/SW integration test,verified
TC-HWSW-011,MOD-HAL-003,Tests HAL CAN TX on STM32H743 bxCAN controller,HW/SW integration test with CAN analyser capture,verified
TC-HWSW-011,MOD-TCI-002,Tests TCI CAN TX departure interlock transmission on hardware,HW/SW integration test,verified
TC-HWSW-011,MOD-SKN-002,Tests SKN departure interlock integration with CAN TX on hardware,HW/SW integration test,verified
TC-HWSW-012,MOD-HAL-003,Tests HAL CAN TX fault report on hardware,HW/SW integration test with CAN analyser,verified
TC-HWSW-012,MOD-TCI-002,Tests TCI fault report transmission on hardware,HW/SW integration test,verified
TC-HWSW-012,MOD-FMG-001,Tests FMG fault report generation integration on hardware,HW/SW integration test,verified
TC-HWSW-013,MOD-HAL-004,Tests HAL SPI cross-channel exchange on STM32H743 SPI4,HW/SW integration test with dual DCU boards and SPI analyser,verified
TC-HWSW-013,MOD-SKN-001,Tests SKN cross-channel 2oo2 comparison on SPI hardware,HW/SW integration test,verified
TC-HWSW-014,MOD-HAL-004,Tests HAL SPI timeout detection on hardware,HW/SW integration test with SPI disconnection,verified
TC-HWSW-014,MOD-SKN-001,Tests SKN SPI timeout handling on hardware,HW/SW integration test,verified
TC-HWSW-014,MOD-SKN-002,Tests SKN safe state escalation on SPI timeout,HW/SW integration test,verified
TC-HWSW-015,MOD-HAL-002,Tests HAL ADC motor current sensing on STM32H743 ADC1,HW/SW integration test with current ramp injection,verified
TC-HWSW-015,MOD-OBD-002,Tests OBD motor current obstacle detection on hardware,HW/SW integration test,verified
TC-HWSW-015,MOD-DSM-001,Tests DSM reversal on overcurrent on hardware,HW/SW integration test,verified
TC-HWSW-016,MOD-HAL-004,Tests HAL RS-485 DDU exchange on STM32H743 USART1,HW/SW integration test with RS-485 analyser,verified
TC-HWSW-016,MOD-DSM-001,Tests DSM DDU command integration on hardware,HW/SW integration test,verified
TC-HWSW-017,MOD-HAL-001,Tests HAL emergency release GPIO detection on hardware,HW/SW integration test with switch activation,verified
TC-HWSW-017,MOD-DSM-004,Tests DSM emergency release handling on hardware,HW/SW integration test,verified
TC-HWSW-018,MOD-HAL-001,Tests HAL DCP GPIO I/O on hardware,HW/SW integration test with DCP simulator,verified
TC-HWSW-018,MOD-TCI-001,Tests TCI DCP input processing on hardware,HW/SW integration test,verified
TC-HWSW-019,MOD-HAL-004,Tests HAL diagnostics port mode control on hardware,HW/SW integration test with USB-UART adapter,verified
TC-HWSW-019,MOD-DGN-003,Tests DGN diagnostics port access on hardware,HW/SW integration test,verified
TC-HWSW-PERF-001,MOD-SKN-003,Tests SKN scheduler cycle WCET on STM32H743,Performance test with DWT cycle counter,verified
TC-HWSW-PERF-001,MOD-SPM-003,Tests SPM cycle WCET on target hardware,Performance test,verified
TC-HWSW-PERF-001,MOD-OBD-003,Tests OBD cycle WCET on target hardware,Performance test,verified
TC-HWSW-PERF-001,MOD-DSM-005,Tests DSM cycle WCET on target hardware,Performance test,verified
TC-HWSW-PERF-001,MOD-FMG-003,Tests FMG cycle WCET on target hardware,Performance test,verified
TC-HWSW-PERF-001,MOD-TCI-004,Tests TCI cycle WCET on target hardware,Performance test,verified
TC-HWSW-PERF-001,MOD-DGN-001,Tests DGN cycle WCET on target hardware,Performance test,verified
TC-HWSW-PERF-001,MOD-HAL-005,Tests HAL services WCET on target hardware,Performance test,verified
TC-HWSW-PERF-002,MOD-SKN-001,Verifies SKN Flash code size,Performance test with linker map analysis,verified
TC-HWSW-PERF-002,MOD-SKN-002,Verifies SKN safe state Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-SPM-001,Verifies SPM Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-OBD-001,Verifies OBD Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-OBD-002,Verifies OBD detect Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-DSM-001,Verifies DSM FSM Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-FMG-001,Verifies FMG Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-TCI-001,Verifies TCI Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-DGN-001,Verifies DGN Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-HAL-001,Verifies HAL GPIO Flash code size,Performance test,verified
TC-HWSW-PERF-002,MOD-HAL-002,Verifies HAL PWM/ADC Flash code size,Performance test,verified
