source_id,target_id,rationale,verification_method,status
TC-INT-001,MOD-DGN-001,Tests DGN event log write function,Integration test with log buffer inspection,verified
TC-INT-001,MOD-DGN-002,Tests DGN SPI Flash buffer flush,Integration test with Flash read-back verification,verified
TC-INT-002,MOD-DGN-001,Tests DGN non-interference with safety modules during event logging,Integration test monitoring safe state,verified
TC-INT-002,MOD-SKN-002,Verifies SKN safe state evaluation is not affected by DGN operations,Integration test,verified
TC-INT-003,MOD-TCI-001,Tests TCI CAN RX processing for normal speed frame,Integration test with CAN stub,verified
TC-INT-003,MOD-SPM-001,Tests SPM processing of speed data from TCI,Integration test verifying speed_valid flag,verified
TC-INT-004,MOD-TCI-001,Tests TCI CRC-16 validation on CAN RX frame,Integration test with corrupted frame,verified
TC-INT-004,MOD-SPM-001,Tests SPM fail-safe retention on CRC error,Integration test verifying last valid speed,verified
TC-INT-005,MOD-TCI-001,Tests TCI CAN timeout detection (200 ms),Integration test with frame withheld,verified
TC-INT-005,MOD-SPM-002,Tests SPM speed interlock activation on timeout,Integration test verifying interlock flag,verified
TC-INT-006,MOD-SPM-002,Tests SPM to SKN speed interlock gate propagation,Integration test with SKN stub,verified
TC-INT-006,MOD-SKN-002,Tests SKN reception and evaluation of speed interlock gate,Integration test,verified
TC-INT-007,MOD-SPM-002,Tests SPM to DSM speed gate propagation,Integration test with DSM stub,verified
TC-INT-007,MOD-DSM-001,Tests DSM FSM rejection of OPENING command when speed gate active,Integration test,verified
TC-INT-008,MOD-TCI-003,Tests TCI CAN sequence counter validation,Integration test with out-of-sequence frame,verified
TC-INT-009,MOD-HAL-001,Tests HAL GPIO position/lock sensor read,Integration test with sensor signal injection,verified
TC-INT-009,MOD-DSM-002,Tests DSM 2oo2 sensor voting for position and lock state,Integration test,verified
TC-INT-009,MOD-DSM-001,Tests DSM FSM transition to CLOSED_AND_LOCKED based on sensor data,Integration test,verified
